GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US08005085300,8005085300,"Census Tract 853, Arapahoe County, Colorado",2004,2
1400000US08005085400,8005085400,"Census Tract 854, Arapahoe County, Colorado",1992,2
1400000US08005085500,8005085500,"Census Tract 855, Arapahoe County, Colorado",1986,1
1400000US08005085600,8005085600,"Census Tract 856, Arapahoe County, Colorado",1996,1
1400000US08005085700,8005085700,"Census Tract 857, Arapahoe County, Colorado",-,**
1400000US08005085800,8005085800,"Census Tract 858, Arapahoe County, Colorado",1988,1
1400000US08005085900,8005085900,"Census Tract 859, Arapahoe County, Colorado",2004,2
1400000US08005086000,8005086000,"Census Tract 860, Arapahoe County, Colorado",2003,1
1400000US08005086100,8005086100,"Census Tract 861, Arapahoe County, Colorado",1993,2
1400000US08005086200,8005086200,"Census Tract 862, Arapahoe County, Colorado",-,**
1400000US08005086300,8005086300,"Census Tract 863, Arapahoe County, Colorado",2003,2
1400000US08005086400,8005086400,"Census Tract 864, Arapahoe County, Colorado",1985,3
1400000US08005086500,8005086500,"Census Tract 865, Arapahoe County, Colorado",-,**
1400000US08005086600,8005086600,"Census Tract 866, Arapahoe County, Colorado",2005,1
1400000US08005086700,8005086700,"Census Tract 867, Arapahoe County, Colorado",2004,1
1400000US08005086800,8005086800,"Census Tract 868, Arapahoe County, Colorado",1986,3
1400000US08005086900,8005086900,"Census Tract 869, Arapahoe County, Colorado",1996,3
1400000US08005087000,8005087000,"Census Tract 870, Arapahoe County, Colorado",1989,4
1400000US08005087100,8005087100,"Census Tract 871, Arapahoe County, Colorado",1980,3
1400000US08005087200,8005087200,"Census Tract 872, Arapahoe County, Colorado",1988,3
1400000US08005087300,8005087300,"Census Tract 873, Arapahoe County, Colorado",1985,2
1400000US08031000102,8031000102,"Census Tract 1.02, Denver County, Colorado",1939-,***
1400000US08031000201,8031000201,"Census Tract 2.01, Denver County, Colorado",1948,2
1400000US08031000202,8031000202,"Census Tract 2.02, Denver County, Colorado",1945,3
1400000US08031000301,8031000301,"Census Tract 3.01, Denver County, Colorado",1939-,***
1400000US08031000302,8031000302,"Census Tract 3.02, Denver County, Colorado",1946,4
1400000US08031000303,8031000303,"Census Tract 3.03, Denver County, Colorado",1939-,***
1400000US08031000401,8031000401,"Census Tract 4.01, Denver County, Colorado",1939-,***
1400000US08031000402,8031000402,"Census Tract 4.02, Denver County, Colorado",1944,11
1400000US08031000501,8031000501,"Census Tract 5.01, Denver County, Colorado",1951,3
1400000US08031000502,8031000502,"Census Tract 5.02, Denver County, Colorado",1951,6
1400000US08031000600,8031000600,"Census Tract 6, Denver County, Colorado",1967,12
1400000US08031000701,8031000701,"Census Tract 7.01, Denver County, Colorado",1958,2
1400000US08031000702,8031000702,"Census Tract 7.02, Denver County, Colorado",1970,5
1400000US08031000800,8031000800,"Census Tract 8, Denver County, Colorado",1952,5
1400000US08031000902,8031000902,"Census Tract 9.02, Denver County, Colorado",1955,1
1400000US08031000903,8031000903,"Census Tract 9.03, Denver County, Colorado",1951,3
1400000US08031000904,8031000904,"Census Tract 9.04, Denver County, Colorado",1958,2
1400000US08031000905,8031000905,"Census Tract 9.05, Denver County, Colorado",1951,3
1400000US08031001000,8031001000,"Census Tract 10, Denver County, Colorado",1954,2
1400000US08031001101,8031001101,"Census Tract 11.01, Denver County, Colorado",1945,10
1400000US08031001102,8031001102,"Census Tract 11.02, Denver County, Colorado",1956,18
1400000US08031001301,8031001301,"Census Tract 13.01, Denver County, Colorado",1954,2
1400000US08031001302,8031001302,"Census Tract 13.02, Denver County, Colorado",1955,2
1400000US08031001401,8031001401,"Census Tract 14.01, Denver County, Colorado",1957,1
1400000US08031001402,8031001402,"Census Tract 14.02, Denver County, Colorado",1957,2
1400000US08031001403,8031001403,"Census Tract 14.03, Denver County, Colorado",1966,11
1400000US08031001500,8031001500,"Census Tract 15, Denver County, Colorado",1945,9
1400000US08031001600,8031001600,"Census Tract 16, Denver County, Colorado",2003,2
1400000US08031001701,8031001701,"Census Tract 17.01, Denver County, Colorado",1998,9
